Name,Country,Club,Position,Assists,Goals
Keylor Navas,Costa Rica,Real Madrid C.F.,GK,0,0
Dani Carvajal,Spain,Real Madrid C.F.,DF,0,0
Jesús Vallejo,Spain,Real Madrid C.F.,DF,0,0
Sergio Ramos,Spain,Real Madrid C.F.,DF,0,7
Raphaël Varane,France,Real Madrid C.F.,DF,0,0
Nacho,Spain,Real Madrid C.F.,DF,0,0
Cristiano Ronaldo,Portugal,Real Madrid C.F.,FW,6,25
Toni Kroos,Germany,Real Madrid C.F.,MF,12,0
Karim Benzema,France,Real Madrid C.F.,FW,5,11
Luka Modri?,Croatia,Real Madrid C.F.,MF,0,0
Gareth Bale,Wales,Real Madrid C.F.,FW,0,7
Marcelo,Brazil,Real Madrid C.F.,DF,10,0
Kiko Casilla,Spain,Real Madrid C.F.,GK,0,0
Casemiro,Brazil,Real Madrid C.F.,MF,0,0
Theo Hernández,France,Real Madrid C.F.,DF,0,0
Lucas Vázquez,Spain,Real Madrid C.F.,FW,7,0
Marcos Llorente,Spain,Real Madrid C.F.,MF,0,0
Achraf Hakimi,Morocco,Real Madrid C.F.,DF,0,0
Marco Asensio,Spain,Real Madrid C.F.,MF,0,0
Borja Mayoral,Spain,Real Madrid C.F.,FW,0,0
Isco,Spain,Real Madrid C.F.,MF,8,10
Mateo Kova?i?,Croatia,Real Madrid C.F.,MF,0,0
Dani Ceballos,Spain,Real Madrid C.F.,MF,0,0
Luca Zidane,France,Real Madrid C.F.,GK,0,0
Marc-André ter Stegen,Germany,FC Barcelona,GK,0,0
Nélson Semedo,Portugal,FC Barcelona,DF,0,0
Gerard Piqué,Spain,FC Barcelona,DF,0,0
Ivan Rakiti?,Croatia,FC Barcelona,MF,0,0
Sergio Busquets,Spain,FC Barcelona,MF,0,0
Denis Suárez,Spain,FC Barcelona,MF,0,0
Arda Turan,Turkey,FC Barcelona,MF,0,0
Andrés Iniesta,Spain,FC Barcelona,MF,0,0
Luis Suárez,Uruguay,FC Barcelona,FW,13,29
Lionel Messi,Argentina,FC Barcelona,FW,9,37
Ousmane Dembélé,France,FC Barcelona,FW,12,6
Rafinha,Brazil,FC Barcelona,MF,0,0
Jasper Cillessen,Netherlands,FC Barcelona,GK,0,0
Javier Mascherano,Argentina,FC Barcelona,DF,0,0
Paulinho,Brazil,FC Barcelona,MF,0,0
Gerard Deulofeu,Spain,FC Barcelona,FW,0,0
Paco Alcácer,Spain,FC Barcelona,FW,0,0
Jordi Alba,Spain,FC Barcelona,DF,6,0
Lucas Digne,France,FC Barcelona,DF,0,0
Sergi Roberto,Spain,FC Barcelona,MF,6,0
André Gomes,Portugal,FC Barcelona,MF,0,0
Aleix Vidal,Spain,FC Barcelona,DF,0,0
Samuel Umtiti,France,FC Barcelona,DF,0,0
Thomas Vermaelen,Belgium,FC Barcelona,DF,0,0
Miguel Ángel Moyà,Spain,Atlético Madrid,GK,0,0
Diego Godín,Uruguay,Atlético Madrid,DF,0,0
Filipe Luís,Brazil,Atlético Madrid,DF,6,0
Thomas Partey,Ghana,Atlético Madrid,MF,0,0
Koke,Spain,Atlético Madrid,MF,8,0
Antoine Griezmann,France,Atlético Madrid,FW,8,16
Saúl,Spain,Atlético Madrid,MF,0,0
Fernando Torres,Spain,Atlético Madrid,FW,5,8
Yannick Carrasco,Belgium,Atlético Madrid,MF,4,10
Ángel Correa,Argentina,Atlético Madrid,FW,8,0
Augusto Fernández,Argentina,Atlético Madrid,MF,0,0
Jan Oblak,Slovenia,Atlético Madrid,GK,0,0
Gabi,Spain,Atlético Madrid,MF,0,0
Stefan Savi?,Montenegro,Atlético Madrid,DF,0,0
Šime Vrsaljko,Croatia,Atlético Madrid,DF,0,0
Luciano Vietto,Argentina,Atlético Madrid,FW,0,0
Diego Costa,Spain,Atlético Madrid,FW,7,20
Lucas Hernández,France,Atlético Madrid,DF,0,0
