Name,Country,Club,Position
Keylor Navas,Costa Rica,Real Madrid C.F.,GK
Dani Carvajal,Spain,Real Madrid C.F.,DF
Jesús Vallejo,Spain,Real Madrid C.F.,DF
Sergio Ramos,Spain,Real Madrid C.F.,DF
Raphaël Varane,France,Real Madrid C.F.,DF
Nacho,Spain,Real Madrid C.F.,DF
Cristiano Ronaldo,Portugal,Real Madrid C.F.,FW
Toni Kroos,Germany,Real Madrid C.F.,MF
Karim Benzema,France,Real Madrid C.F.,FW
Luka Modri?,Croatia,Real Madrid C.F.,MF
Gareth Bale,Wales,Real Madrid C.F.,FW
Marcelo,Brazil,Real Madrid C.F.,DF
Kiko Casilla,Spain,Real Madrid C.F.,GK
Casemiro,Brazil,Real Madrid C.F.,MF
Theo Hernández,France,Real Madrid C.F.,DF
Lucas Vázquez,Spain,Real Madrid C.F.,FW
Marcos Llorente,Spain,Real Madrid C.F.,MF
Achraf Hakimi,Morocco,Real Madrid C.F.,DF
Marco Asensio,Spain,Real Madrid C.F.,MF
Borja Mayoral,Spain,Real Madrid C.F.,FW
Isco,Spain,Real Madrid C.F.,MF
Mateo Kova?i?,Croatia,Real Madrid C.F.,MF
Dani Ceballos,Spain,Real Madrid C.F.,MF
Luca Zidane,France,Real Madrid C.F.,GK
Marc-André ter Stegen,Germany,FC Barcelona,GK
Nélson Semedo,Portugal,FC Barcelona,DF
Gerard Piqué,Spain,FC Barcelona,DF
Ivan Rakiti?,Croatia,FC Barcelona,MF
Sergio Busquets,Spain,FC Barcelona,MF
Denis Suárez,Spain,FC Barcelona,MF
Arda Turan,Turkey,FC Barcelona,MF
Andrés Iniesta,Spain,FC Barcelona,MF
Luis Suárez,Uruguay,FC Barcelona,FW
Lionel Messi,Argentina,FC Barcelona,FW
Ousmane Dembélé,France,FC Barcelona,FW
Rafinha,Brazil,FC Barcelona,MF
Jasper Cillessen,Netherlands,FC Barcelona,GK
Javier Mascherano,Argentina,FC Barcelona,DF
Paulinho,Brazil,FC Barcelona,MF
Gerard Deulofeu,Spain,FC Barcelona,FW
Paco Alcácer,Spain,FC Barcelona,FW
Jordi Alba,Spain,FC Barcelona,DF
Lucas Digne,France,FC Barcelona,DF
Sergi Roberto,Spain,FC Barcelona,MF
André Gomes,Portugal,FC Barcelona,MF
Aleix Vidal,Spain,FC Barcelona,DF
Samuel Umtiti,France,FC Barcelona,DF
Thomas Vermaelen,Belgium,FC Barcelona,DF
Miguel Ángel Moyà,Spain,Atlético Madrid,GK
Diego Godín,Uruguay,Atlético Madrid,DF
Filipe Luís,Brazil,Atlético Madrid,DF
Thomas Partey,Ghana,Atlético Madrid,MF
Koke,Spain,Atlético Madrid,MF
Antoine Griezmann,France,Atlético Madrid,FW
Saúl,Spain,Atlético Madrid,MF
Fernando Torres,Spain,Atlético Madrid,FW
Yannick Carrasco,Belgium,Atlético Madrid,MF
Ángel Correa,Argentina,Atlético Madrid,FW
Augusto Fernández,Argentina,Atlético Madrid,MF
Jan Oblak,Slovenia,Atlético Madrid,GK
Gabi,Spain,Atlético Madrid,MF
Stefan Savi?,Montenegro,Atlético Madrid,DF
Šime Vrsaljko,Croatia,Atlético Madrid,DF
Luciano Vietto,Argentina,Atlético Madrid,FW
Diego Costa,Spain,Atlético Madrid,FW
Lucas Hernández,France,Atlético Madrid,DF
Juanfran,Spain,Atlético Madrid,DF
Kévin Gameiro,France,Atlético Madrid,FW
Nicolás Gaitán,Argentina,Atlético Madrid,MF
José Giménez,Uruguay,Atlético Madrid,DF
Axel Werner,Argentina,Atlético Madrid,GK
André Moreira,Portugal,Atlético Madrid,GK
Danijel Subaši?,Croatia,AS Monaco FC,GK
Fabinho,Brazil,AS Monaco FC,MF
Terence Kongolo,Netherlands,AS Monaco FC,DF
Jemerson,Brazil,AS Monaco FC,DF
Jorge,Brazil,AS Monaco FC,DF
Rachid Ghezzal,Algeria,AS Monaco FC,MF
João Moutinho,Portugal,AS Monaco FC,MF
Radamel Falcao,Colombia,AS Monaco FC,FW
Stevan Joveti?,Montenegro,AS Monaco FC,FW
Guido Carrillo,Argentina,AS Monaco FC,FW
Keita Baldé,Senegal,AS Monaco FC,FW
Adama Diakhaby,France,AS Monaco FC,FW
Diego Benaglio,Switzerland,AS Monaco FC,GK
Youri Tielemans,Belgium,AS Monaco FC,MF
Soualiho Meïté,France,AS Monaco FC,MF
Djibril Sidibé,France,AS Monaco FC,DF
Rony Lopes,Portugal,AS Monaco FC,MF
Julien Serrano,France,AS Monaco FC,DF
Jordi Mboula,Spain,AS Monaco FC,FW
Pierre-Daniel N'Guinda,France,AS Monaco FC,DF
Andrea Raggi,Italy,AS Monaco FC,DF
Kamil Glik,Poland,AS Monaco FC,DF
Boschilia,Brazil,AS Monaco FC,MF
Thomas Lemar,France,AS Monaco FC,MF
Kevin Trapp,Germany,Paris Saint-Germain F.C.,GK
Thiago Silva,Brazil,Paris Saint-Germain F.C.,DF
Presnel Kimpembe,France,Paris Saint-Germain F.C.,DF
Marquinhos,Brazil,Paris Saint-Germain F.C.,DF
Marco Verratti,Italy,Paris Saint-Germain F.C.,MF
Lucas Moura,Brazil,Paris Saint-Germain F.C.,MF
Thiago Motta,Italy,Paris Saint-Germain F.C.,MF
Edinson Cavani,Uruguay,Paris Saint-Germain F.C.,FW
Neymar,Brazil,Paris Saint-Germain F.C.,FW
Ángel Di María,Argentina,Paris Saint-Germain F.C.,MF
Thomas Meunier,Belgium,Paris Saint-Germain F.C.,DF
Alphonse Areola,France,Paris Saint-Germain F.C.,GK
Yuri Berchiche,Spain,Paris Saint-Germain F.C.,DF
Giovani Lo Celso,Argentina,Paris Saint-Germain F.C.,MF
Layvin Kurzawa,France,Paris Saint-Germain F.C.,DF
Hatem Ben Arfa,France,Paris Saint-Germain F.C.,MF
Julian Draxler,Germany,Paris Saint-Germain F.C.,MF
Christopher Nkunku,France,Paris Saint-Germain F.C.,MF
Adrien Rabiot,France,Paris Saint-Germain F.C.,MF
Javier Pastore,Argentina,Paris Saint-Germain F.C.,MF
Kylian Mbappé,France,Paris Saint-Germain F.C.,FW
Alec Georgen,France,Paris Saint-Germain F.C.,DF
Dani Alves,Brazil,Paris Saint-Germain F.C.,DF
Rémy Descamps,France,Paris Saint-Germain F.C.,GK
Gianluigi Buffon,Italy,Juventus F.C.,GK
Mattia De Sciglio,Italy,Juventus F.C.,DF
Giorgio Chiellini,Italy,Juventus F.C.,DF
Medhi Benatia,Morocco,Juventus F.C.,DF
Miralem Pjani?,Bosnia and Herzegovina,Juventus F.C.,MF
Sami Khedira,Germany,Juventus F.C.,MF
Juan Cuadrado,Colombia,Juventus F.C.,MF
Claudio Marchisio,Italy,Juventus F.C.,MF
Gonzalo Higuaín,Argentina,Juventus F.C.,FW
Paulo Dybala,Argentina,Juventus F.C.,FW
Douglas Costa,Brazil,Juventus F.C.,FW
Alex Sandro,Brazil,Juventus F.C.,DF
Blaise Matuidi,France,Juventus F.C.,MF
Andrea Barzagli,Italy,Juventus F.C.,DF
Carlo Pinsoglio,Italy,Juventus F.C.,GK
Mario Mandžuki?,Croatia,Juventus F.C.,FW
Marko Pjaca,Croatia,Juventus F.C.,FW
Benedikt Höwedes,Germany,Juventus F.C.,DF
Kwadwo Asamoah,Ghana,Juventus F.C.,MF
Wojciech Szcz?sny,Poland,Juventus F.C.,GK
Daniele Rugani,Italy,Juventus F.C.,DF
Stephan Lichtsteiner,Switzerland,Juventus F.C.,DF
Stefano Sturaro,Italy,Juventus F.C.,MF
Rodrigo Bentancur,Uruguay,Juventus F.C.,MF
Alisson,Brazil,A.S. Roma,GK
Luca Pellegrini,Italy,A.S. Roma,DF
Radja Nainggolan,Belgium,A.S. Roma,MF
Juan Jesus,Brazil,A.S. Roma,DF
Kevin Strootman,Netherlands,A.S. Roma,MF
Lorenzo Pellegrini,Italy,A.S. Roma,MF
Diego Perotti,Argentina,A.S. Roma,MF
Edin Džeko,Bosnia and Herzegovina,A.S. Roma,FW
Aleksandar Kolarov,Serbia,A.S. Roma,DF
Andrea Romagnoli,Italy,A.S. Roma,GK
Patrik Schick,Czech Republic,A.S. Roma,FW
Héctor Moreno,Mexico,A.S. Roma,DF
Daniele De Rossi,Italy,A.S. Roma,MF
Cengiz Ünder,Turkey,A.S. Roma,MF
Bogdan Lobon?,Romania,A.S. Roma,GK
Federico Fazio,Argentina,A.S. Roma,DF
Maxime Gonalons,France,A.S. Roma,MF
Abdullahi Nura,Nigeria,A.S. Roma,DF
Grégoire Defrel,France,A.S. Roma,FW
Alessandro Florenzi,Italy,A.S. Roma,MF
Bruno Peres,Brazil,A.S. Roma,DF
Rick Karsdorp,Netherlands,A.S. Roma,DF
?ukasz Skorupski,Poland,A.S. Roma,GK
Gerson,Brazil,A.S. Roma,MF
Manuel Neuer,Germany,FC Bayern Munich,GK
Niklas Süle,Germany,FC Bayern Munich,DF
Mats Hummels,Germany,FC Bayern Munich,DF
Thiago,Spain,FC Bayern Munich,MF
Franck Ribéry,France,FC Bayern Munich,MF
Javi Martínez,Spain,FC Bayern Munich,DF
Robert Lewandowski,Poland,FC Bayern Munich,FW
Arjen Robben,Netherlands,FC Bayern Munich,MF
James Rodríguez,Colombia,FC Bayern Munich,MF
Rafinha,Brazil,FC Bayern Munich,DF
Juan Bernat,Spain,FC Bayern Munich,DF
Jérôme Boateng,Germany,FC Bayern Munich,DF
