Name,Club,Assists Given
Kevin De Bruyne,Manchester City,18
Christian Eriksen,Tottenham Hotspur,15
Gylfi Sigurdsson,Swansea City,13
Cesc Fàbregas,Chelsea,12
Alexis Sánchez,Arsenal,10
Wilfried Zaha,Crystal Palace,9
Mesut Özil,Arsenal,9
Pedro,Chelsea,9
Georginio Wijnaldum,Liverpool,9
Ross Barkley,Everton,8
Matthew Phillips,West Bromwich Albion,8
Roberto Firmino,Liverpool,7
Alex Oxlade-Chamberlain,Arsenal,7
David Silva,Manchester City,7
Diego Costa,Chelsea,7
Philippe Coutinho,Liverpool,7
Harry Kane,Tottenham Hotspur,7
Nemanja Matic,Chelsea,7
Dele Alli,Tottenham Hotspur,7
Adam Lallana,Liverpool,7
Raheem Sterling,Manchester City,6
Kevin Mirallas,Everton,6
Marc Albrighton,Leicester City,6
Son Heung-Min,Tottenham Hotspur,6
Ander Herrera,Manchester United,6
Dimitri Payet,West Ham United,6
Anthony Martial,Manchester United,6
Romelu Lukaku,Everton,6
Zlatan Ibrahimovic,Manchester United,5
Ryan Fraser,AFC Bournemouth,5
Dusan Tadic,Southampton,5
Junior Stanislas,AFC Bournemouth,5
Kyle Walker,Tottenham Hotspur,5
Nacer Chadli,West Bromwich Albion,5
Jamie Vardy,Leicester City,5
Kieran Trippier,Tottenham Hotspur,5
Marko Arnautovic,Stoke City,5
Jason Puncheon,Crystal Palace,5
Sadio Mané,Liverpool,5
Robert Snodgrass,West Ham United,5
Wayne Rooney,Manchester United,5
Eden Hazard,Chelsea,5
Adam Smith,AFC Bournemouth,5
Álvaro Negredo,Middlesbrough,4
Troy Deeney,Watford,4
Chris Brunt,West Bromwich Albion,4
César Azpilicueta,Chelsea,4
Andros Townsend,Crystal Palace,4
Harry Arter,AFC Bournemouth,4
Héctor Bellerín,Arsenal,4
Luis Suárez,Barcelona,13
Toni Kroos,Real Madrid,12
Neymar,Barcelona,11
Pablo Piatti,Espanyol,10
Marcelo,Real Madrid,10
Lionel Messi,Barcelona,9
Ángel Correa,Atletico Madrid,8
Antoine Griezmann,Atletico Madrid,8
Pablo Sarabia,Sevilla FC,8
Isco,Real Madrid,8
Koke,Atletico Madrid,8
Lucas Vázquez,Real Madrid,7
Jonathan Viera,Las Palmas,7
Nani,Valencia,7
Daniel Parejo,Valencia,7
Sergi Enrich,Eibar,7
Mikel Oyarzabal,Real Sociedad,7
James Rodríguez,Real Madrid,6
Vitolo,Sevilla FC,6
Juanfran,Deportivo La Coruña,6
Cristiano Ronaldo,Real Madrid,6
Filipe Luís,Atletico Madrid,6
Xabi Prieto,Real Sociedad,6
Jordi Alba,Barcelona,6
Sergi Roberto,Barcelona,6
Emre Colak,Deportivo La Coruña,6
Iñaki Williams,Athletic Bilbao,6
Alex Berenguer,Osasuna,6
Pedro León,Eibar,5
Antonio Luna ,Eibar,5
Ivan Rakitic,Barcelona,5
Moi Gómez,Sporting Gijón,5
Karim Benzema,Real Madrid,5
Roberto Soriano,Villarreal,5
Beñat,Athletic Bilbao,5
Fernando Torres,Atletico Madrid,5
Kevin Gameiro,Atletico Madrid,5
Nabil El Zhar,Leganes,4
Léo Baptistão,Espanyol,4
Óscar de Marcos,Athletic Bilbao,4
Willian José,Real Sociedad,4
Jaime Romero,Osasuna,4
Sergio Canales ,Real Sociedad,4
Gerard Moreno,Espanyol,4
Álvaro Odriozola,Real Sociedad,4
Wissam Ben Yedder,Sevilla FC,4
Yannick Carrasco,Atletico Madrid,4
Tana,Las Palmas,4
Míchel Macedo,Las Palmas,4
Riza Durmisi,Real Betis,4
Emil Forsberg,RB Leipzig,19
Ousmane Dembélé,Borussia Dortmund,12
Thomas Müller,Bayern Munich,12
Franck Ribéry,Bayern Munich,11
Arjen Robben,Bayern Munich,9
Julian Brandt,Bayer Leverkusen,8
Zlatko Junuzovic,Werder Bremen,8
Kerem Demirbay,TSG Hoffenheim,8
Andrej Kramaric,TSG Hoffenheim,8
Vincenzo Grifo,SC Freiburg,8
Max Kruse,Werder Bremen,7
Fin Bartels,Werder Bremen,7
Naby Keita,RB Leipzig,7
Sebastian Rudy,TSG Hoffenheim,7
Yunus Malli,VfL Wolfsburg,7
Yuya Osako,FC Cologne,6
Nicolai Müller,Hamburg SV,6
Christian Pulisic,Borussia Dortmund,6
Gonzalo Castro,Borussia Dortmund,6
Shinji Kagawa,Borussia Dortmund,6
Mahmoud Dahoud,Borussia Monchengladbach,6
Karim Bellarabi,Bayer Leverkusen,6
Levin Öztunali,Mainz,6
Lewis Holtby,Hamburg SV,6
Kai Havertz,Bayer Leverkusen,5
Nabil Bentaleb,Schalke 04,5
Timo Werner,RB Leipzig,5
Thiago Alcántara,Bayern Munich,5
Leonardo Bittencourt,FC Cologne,5
Markus Suttner,FC Ingolstadt 04,5
Sead Kolasinac,Schalke 04,5
Robert Lewandowski,Bayern Munich,5
Hakan Calhanoglu,Bayer Leverkusen,5
Jerome Gondorf,SV Darmstadt 98,4
Marcel Sabitzer,RB Leipzig,4
Pablo de Blasis,Mainz,4
Maxim Choupo-Moting,Schalke 04,4
Steven Zuber,TSG Hoffenheim,4
Salomon Kalou,Hertha Berlin,4
Vedad Ibisevic,Hertha Berlin,4
Marcel Risse,FC Cologne,4
David Alaba,Bayern Munich,4
Marco Fabián,Eintracht Frankfurt,4
Yussuf Poulsen,RB Leipzig,4
Pascal Groß,FC Ingolstadt 04,4
Bastian Oczipka,Eintracht Frankfurt,4
Nadiem Amiri,TSG Hoffenheim,4
Janik Haberer,SC Freiburg,4
Christoph Kramer,Borussia Monchengladbach,4
Daniel Caligiuri,Schalke 04,4
Morgan Sanson,Marseille,14
Thomas Lemar,AS Monaco,10
Bernardo Silva,AS Monaco,9
Jean Michaël Seri,Nice,9
Ryad Boudebouz,Montpellier,9
Kylian Mbappé,AS Monaco,8
Thomas Mangani,Angers,8
Florian Thauvin,Marseille,8
Loïs Diony,Dijon FCO,8
Memphis Depay,Lyon,7
Valentin Eysseric,Nice,7
Fernando Marçal,Guingamp,7
Maxime Lopez,Marseille,7
Léo Dubois,Nantes,7
Ángel Di María,Paris Saint-Germain ,7
Younés Belhanda,Nice,6
Maxwell,Paris Saint-Germain ,6
Sylvain Marveaux,Lorient,6
Vincent Bessat,Caen,6
Paul-Georges Ntep ,Stade Rennes,5
Benjamin Mendy,AS Monaco,5
Corentin Tolisso,Lyon,5
Radamel Falcao,AS Monaco,5
Óscar Trejo,Toulouse,5
Romain Hamouma,St Etienne,5
Gaëtan Laborde,Bordeaux,5
Jimmy Briand,Guingamp,5
Djibril Sidibé,AS Monaco,5
Cheikh Ndoye,Angers,5
Lucas Déaux,Guingamp,5
Majeed Waris,Lorient,5
Almamy Touré,AS Monaco,5
Marco Verratti,Paris Saint-Germain ,5
Lucas Moura,Paris Saint-Germain ,5
Jaroslav Plasil,Bordeaux,5
Mathieu Valbuena,Lyon,5
Ludovic Baal,Stade Rennes,5
Iván Balliu,Metz,5
Arnaud Souquet,Nice,5
Karl Toko Ekambi,Angers,4
Ricardo Pereira,Nice,4
Emiliano Sala,Nantes,4
Youssouf Sabaly,Bordeaux,4
Rémy Cabella,Marseille,4
Yann Karamoh,Caen,4
Maurice Dalé,AS Nancy Lorraine,4
Jules Iloki,Nantes,4
Yanis Salibur,Guingamp,4
Jérémy Morel,Lyon,4
Edinson Cavani,Paris Saint-Germain ,4
José Callejón,Napoli,12
Mohamed Salah,AS Roma,11
Alejandro Gómez,Atalanta,10
Marek Hamsik,Napoli,10
Antonio Candreva,Internazionale,10
Borja Valero,Fiorentina,10
Edin Dzeko,AS Roma,9
Senad Lulic,Lazio,9
Dries Mertens,Napoli,9
Felipe Anderson,Lazio,9
Valter Birsa,Chievo Verona,9
Domenico Berardi,Sassuolo,9
Suso,AC Milan,9
Lorenzo Insigne,Napoli,9
Miralem Pjanic,Juventus,9
Mauro Icardi,Internazionale,8
Ladislav Krejci,Bologna,8
Ivan Perisic,Internazionale,8
Adem Ljajic,Torino,8
Iago Falqué,Torino,8
Piotr Zielinski,Napoli,7
Sergej Milinkovic-Savic,Lazio,7
Kevin Strootman,AS Roma,7
Andrea Petagna,Atalanta,7
Paulo Dybala,Juventus,7
Mauricio Isla,Cagliari,7
Andrea Belotti,Torino,7
Diego Perotti,AS Roma,6
Ever Banega,Internazionale,6
Allan,Napoli,6
Lorenzo Pellegrini,Sassuolo,6
Juan Cuadrado,Juventus,6
Faouzi Ghoulam,Napoli,6
Lucas Castro,Chievo Verona,6
Matteo Politano,Sassuolo,6
Marco Sau,Cagliari,5
Davide Zappacosta,Torino,5
Daniele Baselli,Torino,5
Leonardo Spinazzola,Atalanta,5
Radja Nainggolan,AS Roma,5
Alessandro Diamanti,Palermo,5
Francesco Zampano,US Pescara,5
João Mario,Internazionale,5
Marcello Trotta,Crotone,5
Davide Di Gennaro,Cagliari,5
Panagiotis Tachtsidis,Cagliari,5
Luis Muriel,Sampdoria,5
Andrea Conti,Atalanta,5
Marcus Rohdén,Crotone,4
Vasco Regini,Sampdoria,4
