Name,Club,Goals Scored
Harry Kane,Tottenham Hotspur,29
Romelu Lukaku,Everton,25
Alexis Sánchez,Arsenal,24
Sergio Agüero,Manchester City,20
Diego Costa,Chelsea,20
Dele Alli,Tottenham Hotspur,18
Zlatan Ibrahimovic,Manchester United,17
Joshua King,AFC Bournemouth,16
Eden Hazard,Chelsea,16
Christian Benteke,Crystal Palace,15
Fernando Llorente,Swansea City,15
Jermain Defoe,Sunderland,15
Son Heung-Min,Tottenham Hotspur,14
Philippe Coutinho,Liverpool,13
Jamie Vardy,Leicester City,13
Sadio Mané,Liverpool,13
Olivier Giroud,Arsenal,12
Roberto Firmino,Liverpool,11
Troy Deeney,Watford,10
Sam Vokes,Burnley,10
Theo Walcott,Arsenal,10
Álvaro Negredo,Middlesbrough,9
Pedro,Chelsea,9
Gylfi Sigurdsson,Swansea City,9
Michail Antonio,West Ham United,9
Andre Gray,Burnley,9
Christian Eriksen,Tottenham Hotspur,8
Mesut Özil,Arsenal,8
Salomón Rondón,West Bromwich Albion,8
Manuel Lanzini,West Ham United,8
Adam Lallana,Liverpool,8
Willian,Chelsea,8
Raheem Sterling,Manchester City,7
Peter Crouch,Stoke City,7
Wilfried Zaha,Crystal Palace,7
Junior Stanislas,AFC Bournemouth,7
Nathan Redmond,Southampton,7
Étienne Capoue,Watford,7
Andy Carroll,West Ham United,7
James Milner,Liverpool,7
Divock Origi,Liverpool,7
Islam Slimani,Leicester City,7
Robert Snodgrass,West Ham United,7
Gabriel Jesus,Manchester City,7
André Ayew,West Ham United,6
Gareth McAuley,West Bromwich Albion,6
Juan Mata,Manchester United,6
Ashley Barnes,Burnley,6
Marcos Alonso,Chelsea,6
Riyad Mahrez,Leicester City,6
Lionel Messi,Barcelona,37
Luis Suárez,Barcelona,29
Cristiano Ronaldo,Real Madrid,25
Iago Aspas,Celta Vigo,19
Antoine Griezmann,Atletico Madrid,16
Aritz Aduriz,Athletic Bilbao,16
Álvaro Morata,Real Madrid,15
Sandro Ramírez,Málaga,14
Gerard Moreno,Espanyol,13
Rubén Castro,Real Betis,13
Neymar,Barcelona,13
Willian José,Real Sociedad,12
Florin Andone,Deportivo La Coruña,12
Kevin Gameiro,Atletico Madrid,12
Wissam Ben Yedder,Sevilla FC,11
Karim Benzema,Real Madrid,11
Cédric Bakambu,Villarreal,11
Juanmi,Real Sociedad,11
Sergi Enrich,Eibar,11
Pedro León,Eibar,10
Yannick Carrasco,Atletico Madrid,10
Raúl García,Athletic Bilbao,10
Pablo Piatti,Espanyol,10
Kevin-Prince Boateng,Las Palmas,10
Sergio León,Osasuna,10
Isco,Real Madrid,10
Carlos Vela,Real Sociedad,9
Roberto Soriano,Villarreal,9
Duje Cop,Sporting Gijón,9
Alexander Szymanowski,Leganes,8
Ivan Rakitic,Barcelona,8
James Rodríguez,Real Madrid,8
Carlos Carmona,Sporting Gijón,8
Xabi Prieto,Real Sociedad,8
Pablo Sarabia,Sevilla FC,8
Nicola Sansone,Villarreal,8
Fernando Torres,Atletico Madrid,8
Kenan Kodro,Osasuna,7
Vicente Iborra ,Sevilla FC,7
Adrián,Eibar,7
Sergio Ramos,Real Madrid,7
Roberto Torres,Osasuna,7
Jonathan Viera,Las Palmas,7
Kike,Eibar,7
Deyverson,Alavés,7
Franco Vázquez,Sevilla FC,7
Iker Muniain,Athletic Bilbao,7
Gareth Bale,Real Madrid,7
Léo Baptistão,Espanyol,6
Santi Mina,Valencia,6
Pierre-Emerick Aubameyang,Borussia Dortmund,31
Robert Lewandowski,Bayern Munich,30
Anthony Modeste,FC Cologne,25
Timo Werner,RB Leipzig,21
Mario Gomez,VfL Wolfsburg,16
Max Kruse,Werder Bremen,15
Andrej Kramaric,TSG Hoffenheim,15
Arjen Robben,Bayern Munich,13
Vedad Ibisevic,Hertha Berlin,12
Javier Hernández,Bayer Leverkusen,11
Lars Stindl,Borussia Monchengladbach,11
Serge Gnabry,Werder Bremen,11
Sandro Wagner,TSG Hoffenheim,11
Florian Niederlechner,SC Freiburg,11
Nils Petersen,SC Freiburg,10
Guido Burgstaller,Schalke 04,9
Maximilian Philipp,SC Freiburg,9
Marcel Sabitzer,RB Leipzig,8
Emil Forsberg,RB Leipzig,8
Fin Bartels,Werder Bremen,8
Adám Szalai,TSG Hoffenheim,8
Naby Keita,RB Leipzig,8
Raffael ,Borussia Monchengladbach,7
Yuya Osako,FC Cologne,7
Almog Cohen,FC Ingolstadt 04,7
Salomon Kalou,Hertha Berlin,7
Marco Fabián,Eintracht Frankfurt,7
Yunus Malli,VfL Wolfsburg,7
Mark Uth,TSG Hoffenheim,7
Marco Reus,Borussia Dortmund,7
Kevin Volland,Bayer Leverkusen,6
Halil Altintop,FC Augsburg,6
Joshua Kimmich,Bayern Munich,6
Thiago Alcántara,Bayern Munich,6
Raphael Guerreiro,Borussia Dortmund,6
Ousmane Dembélé,Borussia Dortmund,6
Kerem Demirbay,TSG Hoffenheim,6
Thorgan Hazard,Borussia Monchengladbach,6
Hakan Calhanoglu,Bayer Leverkusen,6
Alessandro Schöpf,Schalke 04,6
Dario Lezcano,FC Ingolstadt 04,6
Vincenzo Grifo,SC Freiburg,6
Joel Pohjanpalo,Bayer Leverkusen,6
Jhon Córdoba,Mainz,5
Pablo de Blasis,Mainz,5
Nicolai Müller,Hamburg SV,5
Franck Ribéry,Bayern Munich,5
Nabil Bentaleb,Schalke 04,5
Alexander Meier,Eintracht Frankfurt,5
Theodor Gebre Selassie,Werder Bremen,5
Edinson Cavani,Paris Saint-Germain ,35
Alexandre Lacazette,Lyon,28
Radamel Falcao,AS Monaco,21
Bafetimbi Gomis,Marseille,20
Kylian Mbappé,AS Monaco,15
Ivan Santini,Caen,15
Florian Thauvin,Marseille,15
Mario Balotelli,Nice,15
Nicolas de Preville,Lille,14
Steve Mounie,Montpellier,14
Benjamin Moukandjo,Lorient,13
Emiliano Sala,Nantes,12
Jimmy Briand,Guingamp,12
Lucas Moura,Paris Saint-Germain ,12
Alassane Plea,Nice,11
Ryad Boudebouz,Montpellier,11
Loïs Diony,Dijon FCO,11
Martin Braithwaite,Toulouse,11
Enzo Crivelli,Bastia,10
Majeed Waris,Lorient,10
Valère Germain,AS Monaco,10
Diego Rolan,Bordeaux,9
Julio Tavares,Dijon FCO,9
Thomas Lemar,AS Monaco,9
Nabil Fekir,Lyon,9
Ronny,Caen,9
Giovanni Sio,Stade Rennes,9
Fabinho,AS Monaco,9
Famara Diedhiou,Angers,8
Yanis Salibur,Guingamp,8
Corentin Tolisso,Lyon,8
Bernardo Silva,AS Monaco,8
Issiar Dia,AS Nancy Lorraine,8
Mathieu Valbuena,Lyon,8
Cheick Diabate,Metz,8
Wylan Cyprien,Nice,8
Karl Toko Ekambi,Angers,7
Guido Carrillo,AS Monaco,7
Romain Hamouma,St Etienne,7
Pierre Lees-Melou,Dijon FCO,7
Jean Michaël Seri,Nice,7
Malcom,Bordeaux,7
Ola Toivonen,Toulouse,7
Maxwel Cornet,Lyon,6
Prejuce Nakoulma,Nantes,6
Kamil Glik,AS Monaco,6
Gaëtan Laborde,Bordeaux,6
Éder,Lille,6
Mevlut Erdinç,Metz,6
Francois Kamano,Bordeaux,6
Edin Dzeko,AS Roma,29
Dries Mertens,Napoli,28
Andrea Belotti,Torino,26
Mauro Icardi,Internazionale,24
Gonzalo Higuaín,Juventus,24
Ciro Immobile,Lazio,23
Lorenzo Insigne,Napoli,18
Alejandro Gómez,Atalanta,16
Keita Balde Diao,Lazio,16
Marco Borriello,Cagliari,16
Mohamed Salah,AS Roma,15
Nikola Kalinic,Fiorentina,15
José Callejón,Napoli,14
Diego Falcinelli,Crotone,13
Carlos Bacca,AC Milan,13
Fabio Quagliarella,Sampdoria,12
Giovanni Simeone,Genoa,12
Marek Hamsik,Napoli,12
Gregoire Defrel,Sassuolo,12
Cyril Thereau,Udinese,12
Iago Falqué,Torino,12
Patrik Schick,Sampdoria,11
Radja Nainggolan,AS Roma,11
Ivan Perisic,Internazionale,11
Paulo Dybala,Juventus,11
Federico Bernardeschi,Fiorentina,11
Luis Muriel,Sampdoria,11
Ilija Nestoroski,Palermo,11
Mattia Destro,Bologna,11
Khouma Babacar,Fiorentina,10
Roberto Inglese,Chievo Verona,10
Duván Zapata,Udinese,10
Adem Ljajic,Torino,10
Gianluca Caprari,US Pescara,9
Sergio Pellissier,Chievo Verona,9
Diego Perotti,AS Roma,8
Alessandro Matri,Sassuolo,8
Gianluca Lapadula,AC Milan,8
Blerim Dzemaili,Bologna,8
Éder,Internazionale,8
Stephan El Shaarawy,AS Roma,8
Andrea Conti,Atalanta,8
Marco Sau,Cagliari,7
João Pedro,Cagliari,7
Valter Birsa,Chievo Verona,7
Mario Mandzukic,Juventus,7
Suso,AC Milan,7
Diego Farias,Cagliari,7
Mattia Caldara,Atalanta,7
Levan Mchedlidze,Empoli,6
